text;label
 Sooo SAD I will miss you here in San Diego!!!;negative
my boss is bullying me...;negative
 what interview! leave me alone;negative
 Sons of ****, why couldn`t they put them on the releases we already bought;negative
2am feedings for the baby are fun when he is all smiles and coos;positive
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?);positive
I really really like the song Love Story by Taylor Swift;positive
My Sharpie is running DANGERously low on ink;negative
i want to go to music tonight but i lost my voice.;negative
Uh oh, I am sunburned;negative
 S`ok, trying to plot alternatives as we speak *sigh*;negative
i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw;negative
is back home now      gonna miss every one;negative
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet;positive
the free fillin` app on my ipod is fun, im addicted;positive
  I`m sorry.;negative
On the way to Malaysia...no internet access to Twit;negative
"juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?";positive
Went to sleep and there is a power cut in Noida  Power back up not working too;negative
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?;positive
i hope unni will make the audition . fighting dahye unni !;positive
If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.;negative
 That`s very funny.  Cute kids.;positive
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY;negative
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....;negative
A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day;positive
im an avid fan of **** magazine and i love your magazines;positive
I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½;positive
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!;negative
i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more;negative
 which case? I got a new one last week and I`m not thrilled at all with mine.;negative
 it is ****...u have dissappointed me that past few days;negative
 romance zero is funny;positive
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now;negative
Aw. Torn ace of hearts  #Hunchback;negative
i lost all my friends, i`m alone and sleepy..i wanna go home;negative
I give in to easily;negative
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red;positive
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR;negative
  He`s awesome... Have you worked with him before? He`s a good friend.;positive
Chilliin;positive
 a celtics-lakers rematch sounds better don`t you think? lol;positive
WOW, i AM REALLY MiSSiN THE FAM(iLY) TODAY. BADDD.;negative
I am sooo tired;negative
 THANK YYYYYYYYYOOOOOOOOOOUUUUU!;positive
 lucky kid...i so wanna see loserville  pity im in oz....;positive
Sick. With a flu like thing.;negative
Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys;negative
Happy Star Wars day everyone! and Enjoy the holiday (UK);positive
i miss you bby      wish you were going tomorrow to make me do good.;negative
 Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded;positive
 SWEEEEET - San Fran is awesome!!!!  Love it there;positive
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow;negative
Happy Mothers day to all you Mums out there;positive
 CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?;negative
 hemp cloth is marvelous but unfortunately no;negative
We saw that in none 3D - the baddie`s the best;positive
4am. And Im on the beach. Pretty;positive
1 week post my'horrible, traumatic jumping cholla accident.'-cholla`s next dirty trick:pieces are starting to emerge from my hand! Ouch!;negative
i realy wanted to go out cause its so nice but everybodys busy;negative
 Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.;positive
 haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****;positive
 have a safe trip joshy poo.......you`ll knock them dead at your speech;positive
 woof, I wish I was allowed to go;positive
Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!;positive
Aww, I love my daddy! He works 7 days a week almost all day and still tries to go to SF with all of us;positive
So many tests todayyy  I don`t feel confident about anyy.;negative
graduation is done  im a little sad.. anyone want to hang out???;negative
 hahaa your awesomee !;positive
holy smokes! star trek was freaking awesomeeeee;positive
Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours;negative
 Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!;negative
not well;negative
 Not a prob hun;positive
 hey mia!  totally adore your music.  when will your cd be out?;positive
Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless;positive
 =O you need to ask him something? Lmao I love him too;positive
 those splinters look very painful...but you were being very heroic saving mr. Pickle;negative
 why are you sad?;negative
Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom;positive
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....;positive
missed all the awesome weather, because she was in a movie!;negative
These kids are terrible! If I was in Good Evans, I`d call Childline;negative
Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!;negative
 What`s sad is that I actually had to google that term. That sucks, tho.;negative
Hate fighting;negative
Car-warmed Sprite tastes like sore throat;negative
Candle wax is very enjoyable.;positive
 She`s unassuming and unpretentious. She`s just, as. I suppose that`s why she`s so endearing--because we can relate to her;positive
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?;positive
 me too. I hate my computer so much..;negative
fine! Going to do my big walk today 20 or so miles;positive
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!;negative
Bugger. forgot I still have washing in my machine;negative
_Laurie sending love, blessings & healing thoughts to you & family  peace;positive
My back hurts...really bad;negative
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal;negative
 Had parent teacher thing yesterday!! So boring going to skl on saturday!!  lol;negative
  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!;positive
Few Bevvies 2day in twn..great on a day off!!;positive
first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!;positive
 good morning;positive
 its the best show EVER!;positive
URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES;negative
or even NOOOOO NOT THE SECRET NAMEREBECCA PLEASE;negative
 I miss my neice  can`t wait to see her bad n grown ****! Lol;negative
really hopes her car`s illness is not terminal...;negative
who watched X-men origins: wolverine? i totally loved it! haha;positive
I VOTED!!! do u have a personal myspace? i keep talking to fakes   i <3 you. u helped me thru the hrdest time of my life! (: x;positive
 I`m sad that I missed you guys last night!;negative
today was the last day of high school for me and i ended up going home sick! ... stupid dead rats;negative
lost my tooth 2day whilst i was eating gum...oww;negative
happy 1 year! <3;positive
Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol;positive
  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!;negative
I`m starving!! This diet is killing me but I can`t eat after 8pm;negative
im soo bored...im deffo missing my music channels;negative
 nite nite bday girl  have fun at concert;positive
should be sleeping.  lost my voice a couple day ago.;negative
